"ROUTE","MP_BEG","MP_END","DIST","URBAN","FUNCLASS","SPEEDLIM","LN_THRU_WIDTH","LN_TOTAL","LN_THRU","LN_LTURN","LN_RTURN","LN_TWOWAY","LN_TWMED","LN_ACCEL","LN_DECEL","LN_PASS","LN_AUX","LN_HOV","LN_TRAN","LN_BIKE","LN_GRAVEL","LN_OTHER","LN_LSHLDR","LN_RSHLDR","LN_ISLPNT","LN_ISLRDS","YEAR","AADT","SUTRK","CUTRK","CRASH_ALL","CRASH_K","CRASH_A","CRASH_B","CRASH_C","CRASH_O","CRASH_ONEVEH","CRASH_SEATBELT","CRASH_PED","CRASH_BIKE"
"0006P",18.115,18.297,0.182000000000002,FALSE,"Other Principal Arterial",65,12,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2017,410,0.249609984,0.232449298,0,0,0,0,0,0,0,0,0,0
"0006P",18.297,18.757,0.460000000000001,FALSE,"Other Principal Arterial",65,12,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2017,410,0.249609984,0.232449298,0,0,0,0,0,0,0,0,0,0
"0006P",18.757,19.264,0.506999999999998,FALSE,"Other Principal Arterial",65,12,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2017,410,0.249609984,0.232449298,0,0,0,0,0,0,0,0,0,0
"0006P",19.264,19.868,0.603999999999999,FALSE,"Other Principal Arterial",65,12,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2017,410,0.249609984,0.232449298,0,0,0,0,0,0,0,0,0,0
"0006P",19.868,20.304,0.436,FALSE,"Other Principal Arterial",65,12,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2017,410,0.249609984,0.232449298,0,0,0,0,0,0,0,0,0,0
"0006P",20.304,21.388,1.084,FALSE,"Other Principal Arterial",65,12,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2017,410,0.249609984,0.232449298,0,0,0,0,0,0,0,0,0,0
"0006P",21.388,21.549,0.160999999999998,FALSE,"Other Principal Arterial",65,12,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2017,410,0.249609984,0.232449298,0,0,0,0,0,0,0,0,0,0
"0006P",21.549,21.574,0.0250000000000021,FALSE,"Other Principal Arterial",65,12,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2017,410,0.249609984,0.232449298,0,0,0,0,0,0,0,0,0,0
"0006P",21.574,22.303,0.728999999999999,FALSE,"Other Principal Arterial",65,12,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2017,410,0.249609984,0.232449298,0,0,0,0,0,0,0,0,0,0
"0006P",22.303,23.297,0.994,FALSE,"Other Principal Arterial",65,12,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2017,410,0.249609984,0.232449298,0,0,0,0,0,0,0,0,0,0
"0006P",23.297,24.428,1.131,FALSE,"Other Principal Arterial",65,12,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2017,410,0.249609984,0.232449298,0,0,0,0,0,0,0,0,0,0
"0006P",24.428,26.612,2.184,FALSE,"Other Principal Arterial",65,12,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2017,410,0.249609984,0.232449298,0,0,0,0,0,0,0,0,0,0
"0006P",26.612,27.283,0.671000000000003,FALSE,"Other Principal Arterial",35,12,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2017,410,0.249609984,0.232449298,0,0,0,0,0,0,0,0,0,0
"0006P",27.283,28.988,1.705,FALSE,"Other Principal Arterial",65,12,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2017,410,0.249609984,0.232449298,0,0,0,0,0,0,0,0,0,0
"0006P",28.988,29.759,0.771000000000001,FALSE,"Other Principal Arterial",65,12,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2017,410,0.249609984,0.232449298,0,0,0,0,0,0,0,0,0,0
"0006P",29.759,30.631,0.872,FALSE,"Other Principal Arterial",65,12,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2017,410,0.249609984,0.232449298,0,0,0,0,0,0,0,0,0,0
"0006P",30.631,30.998,0.367000000000001,FALSE,"Other Principal Arterial",65,12,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2017,410,0.249609984,0.232449298,0,0,0,0,0,0,0,0,0,0
"0006P",30.998,31.103,0.105,FALSE,"Other Principal Arterial",65,12,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2017,410,0.249609984,0.232449298,0,0,0,0,0,0,0,0,0,0
"0006P",31.103,33.113,2.01,FALSE,"Other Principal Arterial",65,12,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2017,410,0.249609984,0.232449298,1,0,0,0,0,1,1,0,0,0
"0006P",33.113,33.422,0.308999999999997,FALSE,"Other Principal Arterial",65,12,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2017,410,0.249609984,0.232449298,0,0,0,0,0,0,0,0,0,0
"0006P",33.422,34.069,0.647000000000006,FALSE,"Other Principal Arterial",65,12,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2017,410,0.249609984,0.232449298,0,0,0,0,0,0,0,0,0,0
"0006P",34.069,34.45,0.381,FALSE,"Other Principal Arterial",65,12,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2017,410,0.249609984,0.232449298,0,0,0,0,0,0,0,0,0,0
"0006P",34.45,34.608,0.157999999999994,FALSE,"Other Principal Arterial",65,12,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2017,410,0.249609984,0.232449298,0,0,0,0,0,0,0,0,0,0
"0006P",34.608,35.25,0.642000000000003,FALSE,"Other Principal Arterial",65,12,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2017,410,0.249609984,0.232449298,0,0,0,0,0,0,0,0,0,0
"0006P",35.25,36.619,1.369,FALSE,"Other Principal Arterial",65,12,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2017,410,0.249609984,0.232449298,0,0,0,0,0,0,0,0,0,0
"0006P",36.619,36.654,0.0350000000000037,FALSE,"Other Principal Arterial",65,12,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2017,410,0.249609984,0.232449298,0,0,0,0,0,0,0,0,0,0
"0006P",36.654,38.225,1.571,FALSE,"Other Principal Arterial",65,12,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2017,410,0.249609984,0.232449298,0,0,0,0,0,0,0,0,0,0
"0006P",38.225,39.238,1.013,FALSE,"Other Principal Arterial",65,12,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2017,410,0.249609984,0.232449298,0,0,0,0,0,0,0,0,0,0
"0006P",39.238,40.918,1.68,FALSE,"Other Principal Arterial",65,12,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2017,410,0.249609984,0.232449298,0,0,0,0,0,0,0,0,0,0
"0006P",40.918,40.96,0.0420000000000016,FALSE,"Other Principal Arterial",65,12,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2017,410,0.249609984,0.232449298,0,0,0,0,0,0,0,0,0,0
"0006P",40.96,42.179,1.219,FALSE,"Other Principal Arterial",65,12,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2017,410,0.249609984,0.232449298,0,0,0,0,0,0,0,0,0,0
"0006P",42.179,42.219,0.0399999999999991,FALSE,"Other Principal Arterial",65,12,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2017,410,0.249609984,0.232449298,0,0,0,0,0,0,0,0,0,0
"0006P",42.219,43.237,1.018,FALSE,"Other Principal Arterial",65,12,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2017,410,0.249609984,0.232449298,0,0,0,0,0,0,0,0,0,0
"0006P",43.237,43.789,0.552,FALSE,"Other Principal Arterial",65,12,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2017,410,0.249609984,0.232449298,0,0,0,0,0,0,0,0,0,0
"0006P",43.789,43.87,0.080999999999996,FALSE,"Other Principal Arterial",65,12,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2017,410,0.249609984,0.232449298,0,0,0,0,0,0,0,0,0,0
"0006P",43.87,45.397,1.527,FALSE,"Other Principal Arterial",65,12,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2017,410,0.249609984,0.232449298,1,0,0,0,1,0,0,0,0,0
"0006P",45.397,46.017,0.620000000000005,FALSE,"Other Principal Arterial",65,12,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2017,410,0.249609984,0.232449298,0,0,0,0,0,0,0,0,0,0
"0006P",46.017,47.91,1.89299999999999,FALSE,"Other Principal Arterial",65,12,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2017,410,0.249609984,0.232449298,0,0,0,0,0,0,0,0,0,0
"0006P",47.91,48.339,0.429000000000002,FALSE,"Other Principal Arterial",65,12,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2017,370,0.175062972,0.333819435,0,0,0,0,0,0,0,0,0,0
"0006P",48.339,49.669,1.33,FALSE,"Other Principal Arterial",65,12,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2017,370,0.175062972,0.333819435,1,0,0,1,0,0,1,0,0,0
"0006P",49.669,52.487,2.818,FALSE,"Other Principal Arterial",65,12,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2017,370,0.175062972,0.333819435,0,0,0,0,0,0,0,0,0,0
"0006P",52.487,54.095,1.608,FALSE,"Other Principal Arterial",65,12,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2017,370,0.175062972,0.333819435,0,0,0,0,0,0,0,0,0,0
"0006P",54.095,54.133,0.0380000000000038,FALSE,"Other Principal Arterial",65,12,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2017,370,0.175062972,0.333819435,0,0,0,0,0,0,0,0,0,0
"0006P",54.133,56.357,2.224,FALSE,"Other Principal Arterial",65,12,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2017,370,0.175062972,0.333819435,0,0,0,0,0,0,0,0,0,0
"0006P",56.357,57.113,0.756,FALSE,"Other Principal Arterial",65,12,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2017,370,0.175062972,0.333819435,0,0,0,0,0,0,0,0,0,0
"0006P",57.113,57.995,0.881999999999998,FALSE,"Other Principal Arterial",65,12,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2017,370,0.175062972,0.333819435,1,0,0,0,1,0,1,0,0,0
"0006P",57.995,59.635,1.64,FALSE,"Other Principal Arterial",65,12,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2017,370,0.175062972,0.333819435,0,0,0,0,0,0,0,0,0,0
"0006P",59.635,60.218,0.583000000000006,FALSE,"Other Principal Arterial",65,12,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2017,370,0.175062972,0.333819435,0,0,0,0,0,0,0,0,0,0
"0006P",60.218,60.241,0.0229999999999961,FALSE,"Other Principal Arterial",65,12,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2017,370,0.175062972,0.333819435,0,0,0,0,0,0,0,0,0,0
"0006P",60.241,61.716,1.475,FALSE,"Other Principal Arterial",65,12,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2017,370,0.175062972,0.333819435,0,0,0,0,0,0,0,0,0,0
"0006P",61.716,61.729,0.0129999999999981,FALSE,"Other Principal Arterial",65,12,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2017,370,0.175062972,0.333819435,0,0,0,0,0,0,0,0,0,0
"0006P",61.729,62.195,0.466000000000001,FALSE,"Other Principal Arterial",65,12,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2017,370,0.175062972,0.333819435,0,0,0,0,0,0,0,0,0,0
"0006P",62.195,62.791,0.595999999999997,FALSE,"Other Principal Arterial",65,12,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2017,370,0.175062972,0.333819435,0,0,0,0,0,0,0,0,0,0
"0006P",62.791,62.917,0.126000000000005,FALSE,"Other Principal Arterial",65,12,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2017,370,0.175062972,0.333819435,0,0,0,0,0,0,0,0,0,0
"0006P",62.917,62.992,0.0749999999999957,FALSE,"Other Principal Arterial",65,12,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2017,370,0.175062972,0.333819435,0,0,0,0,0,0,0,0,0,0
"0006P",62.992,65.878,2.886,FALSE,"Other Principal Arterial",65,12,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2017,370,0.175062972,0.333819435,0,0,0,0,0,0,0,0,0,0
"0006P",65.878,66.534,0.656000000000006,FALSE,"Other Principal Arterial",65,12,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2017,370,0.175062972,0.333819435,0,0,0,0,0,0,0,0,0,0
"0006P",66.534,66.697,0.162999999999997,FALSE,"Other Principal Arterial",65,12,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2017,370,0.175062972,0.333819435,0,0,0,0,0,0,0,0,0,0
"0006P",66.697,66.901,0.203999999999994,FALSE,"Other Principal Arterial",65,12,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2017,370,0.175062972,0.333819435,0,0,0,0,0,0,0,0,0,0
"0006P",66.901,67.387,0.486000000000004,FALSE,"Other Principal Arterial",65,12,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2017,370,0.175062972,0.333819435,0,0,0,0,0,0,0,0,0,0
"0006P",67.387,78.46,11.073,FALSE,"Other Principal Arterial",65,12,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2017,370,0.175062972,0.333819435,1,0,0,0,1,0,1,0,0,0
"0006P",78.46,78.479,0.0190000000000055,FALSE,"Other Principal Arterial",65,12,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2017,530,0.162480731,0.264721781,0,0,0,0,0,0,0,0,0,0
"0006P",80.38,80.888,0.50800000000001,FALSE,"Other Principal Arterial",65,12,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2017,530,0.162480731,0.264721781,0,0,0,0,0,0,0,0,0,0
"0006P",80.888,81.062,0.173999999999992,FALSE,"Other Principal Arterial",65,12,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2017,530,0.162480731,0.264721781,0,0,0,0,0,0,0,0,0,0
"0006P",81.062,81.639,0.576999999999998,FALSE,"Other Principal Arterial",65,12,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2017,530,0.162480731,0.264721781,0,0,0,0,0,0,0,0,0,0
"0006P",82.38,82.489,0.109000000000009,FALSE,"Other Principal Arterial",40,12,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2017,530,0.162480731,0.264721781,0,0,0,0,0,0,0,0,0,0
"0006P",82.489,82.634,0.144999999999996,FALSE,"Other Principal Arterial",40,12,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2017,530,0.162480731,0.264721781,0,0,0,0,0,0,0,0,0,0
"0006P",82.634,82.684,0.0499999999999972,FALSE,"Other Principal Arterial",40,12,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2017,530,0.162480731,0.264721781,0,0,0,0,0,0,0,0,0,0
"0006P",82.684,82.885,0.201000000000008,FALSE,"Other Principal Arterial",40,12,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2017,530,0.162480731,0.264721781,0,0,0,0,0,0,0,0,0,0
"0006P",82.885,82.986,0.100999999999999,FALSE,"Other Principal Arterial",40,12,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2017,530,0.162480731,0.264721781,0,0,0,0,0,0,0,0,0,0
"0006P",82.986,83.086,0.0999999999999943,FALSE,"Other Principal Arterial",40,12,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2017,2000,0.149897651,0.19561952,0,0,0,0,0,0,0,0,0,0
"0006P",83.086,83.147,0.061000000000007,FALSE,"Other Principal Arterial",40,12,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2017,2000,0.149897651,0.19561952,0,0,0,0,0,0,0,0,0,0
"0006P",83.147,83.182,0.0349999999999966,FALSE,"Other Principal Arterial",40,12,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2017,2000,0.149897651,0.19561952,0,0,0,0,0,0,0,0,0,0
"0006P",83.182,83.388,0.206000000000003,FALSE,"Other Principal Arterial",40,12,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2017,2000,0.149897651,0.19561952,0,0,0,0,0,0,0,0,0,0
"0006P",83.897,84.653,0.756,FALSE,"Other Principal Arterial",55,12,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2017,3500,0.137313731,0.126512651,0,0,0,0,0,0,0,0,0,0
"0006P",84.653,85.909,1.256,FALSE,"Other Principal Arterial",55,12,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2017,3500,0.137313731,0.126512651,2,0,0,1,0,1,1,0,0,0
"0006P",85.909,85.947,0.0379999999999967,FALSE,"Other Principal Arterial",55,12,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2017,3500,0.137313731,0.126512651,0,0,0,0,0,0,0,0,0,0
"0006P",85.947,86.609,0.661999999999992,FALSE,"Other Principal Arterial",55,12,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2017,3500,0.137313731,0.126512651,0,0,0,0,0,0,0,0,0,0
"0006P",86.609,87.687,1.078,FALSE,"Other Principal Arterial",55,12,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2017,3500,0.137313731,0.126512651,1,0,0,0,1,0,1,1,0,0
"0006P",87.687,87.935,0.248000000000005,FALSE,"Other Principal Arterial",30,13,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2017,3500,0.137313731,0.126512651,0,0,0,0,0,0,0,0,0,0
"0006P",87.935,88.003,0.0679999999999978,FALSE,"Other Principal Arterial",30,13,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2017,6100,0.13373503,0.138435383,0,0,0,0,0,0,0,0,0,0
"0006P",88.003,88.202,0.198999999999998,FALSE,"Other Principal Arterial",30,13,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2017,6100,0.13373503,0.138435383,0,0,0,0,0,0,0,0,0,0
"0006P",88.202,88.336,0.134,FALSE,"Other Principal Arterial",30,13,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2017,6100,0.13373503,0.138435383,0,0,0,0,0,0,0,0,0,0
"0006P",88.336,88.453,0.117000000000004,FALSE,"Other Principal Arterial",30,12,4,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2017,6100,0.13373503,0.138435383,1,0,0,0,0,1,1,0,0,0
"0006P",88.453,88.575,0.122,FALSE,"Other Principal Arterial",30,12,4,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2017,6100,0.13373503,0.138435383,0,0,0,0,0,0,0,0,0,0
